"x","y","Cprod","Infra","Econ","Lprod","Nat","Fprod","FR"
1771,1526,0.480988962530381,0.634227688098579,0.667260147882641,0.446149893669372,0.523148249610956,0.504797153986843,"C_Livestock"
1771,1527,0.48088354292417,0.617965708103553,0.726831350481993,0.44614886269545,0.529269249063671,0.508279256636486,"Forester"
1771,1528,0.48088354292417,0.610579403492409,0.726831350481993,0.446065142343882,0.535768140449438,0.51219784509882,"C_Livestock"
1771,1529,0.48088354292417,0.582862244713486,0.726831350481993,0.445929638310975,0.54249605625879,0.515947800136181,"C_Livestock"
1771,1530,0.481294769834195,0.571824071671254,0.606275342379548,0.445406475640319,0.548990950234742,0.519995723234584,"C_Livestock"
1771,1531,0.478101731561417,0.549683203379039,0.667260147882641,0.44498457521022,0.555267817953547,0.52420214691077,"Forester"
1771,1532,0.478590004894793,0.540669239114502,0.726831350481993,0.444176071214309,0.561578218450416,0.528163945649179,"Forester"
1771,1533,0.48088354292417,0.522254752759136,0.726831350481993,0.443568524372936,0.567459504708098,0.531936661912104,"Forester"
1771,1534,0.48088354292417,0.5146375148675,0.667260147882641,0.442446254924735,0.573117706214689,0.535941210704244,"Forester"
1771,1535,0.481294769834195,0.498897499022294,0.726831350481993,0.44100184657777,0.578127390691115,0.539761597992139,"C_Livestock"
1771,1536,0.476765679583622,0.492301236564025,0.726831350481993,0.43980942750245,0.582643810061119,0.54368062006735,"C_Livestock"
1771,1537,0.480344150963824,0.479517677307893,0.711460805390322,0.438683003523783,0.586799161473088,0.547393902365459,"C_Livestock"
1771,1538,0.478590004894793,0.479878154734656,0.711460805390322,0.437301627498439,0.590850846590909,0.551137262898351,"C_Livestock"
1771,1539,0.479394905529695,0.476702254691662,0.711460805390322,0.435629938233377,0.594859405508072,0.555100747090911,"C_Livestock"
1771,1540,0.479394905529695,0.470951371953485,0.711460805390322,0.434042011741354,0.598229607619048,0.559259103871211,"C_Livestock"
1771,1541,0.480344150963824,0.47430326456312,0.73980965011927,0.432685795202721,0.601286647482014,0.563419128022959,"C_Livestock"
1771,1542,0.48088354292417,0.482587754450815,0.73980965011927,0.431261678571377,0.604180036661842,0.567169042728792,"C_Livestock"
1771,1543,0.479200246066177,0.497996004855685,0.716637825142727,0.430403780244239,0.606654270531401,0.570846967500639,"Forester"
1771,1544,0.479394905529695,0.515062361645413,0.656461562469517,0.42995860536476,0.609068154589371,0.574479665580227,"C_Livestock"
1771,1545,0.48088354292417,0.534187205033037,0.671832110563722,0.429521240659973,0.611279759340125,0.577655524192909,"C_Livestock"
1771,1546,0.479200246066177,0.555936104499865,0.671832110563722,0.429038212805147,0.613336301886792,0.580544906659218,"C_Livestock"
1771,1547,0.48088354292417,0.581145401358523,0.671832110563722,0.428545804066843,0.615370446715328,0.582950243368272,"Forester"
1771,1548,0.48088354292417,0.611128485015318,0.731774706764839,0.427674948166957,0.616579476933072,0.585595260227063,"C_Cereal"
1771,1551,0.481294769834195,0.646513723037836,0.731774706764839,0.428110977476371,0.617076897435896,0.58968496519029,"C_Livestock"
1771,1552,0.481294769834195,0.625311103723932,0.731774706764839,0.428260739976398,0.616006941234567,0.58944697560656,"C_Livestock"
1771,1553,0.481294769834195,0.592794772880524,0.731774706764839,0.428827250297829,0.614377483902921,0.588724421585326,"C_Livestock"
1771,1554,0.480344150963824,0.565820291279885,0.646268039632363,0.42896805859722,0.612167956284152,0.587137360827401,"C_Cereal"
1771,1555,0.479200246066177,0.542770871918048,0.646268039632363,0.428462703463433,0.609717887887887,0.584573576784058,"C_Livestock"
1771,1556,0.48088354292417,0.522648006305888,0.646268039632363,0.428392470548196,0.606815570347957,0.581427001537072,"Forester"
